Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors
tt0210075,5,2024-06-22,Girlfight,Girlfight,https://www.imdb.com/title/tt0210075,Movie,6.7,110,2000,"Sport, Drama",2000-10-06,Karyn Kusama
tt14407336,5,2024-06-20,The Beast,La bête,https://www.imdb.com/title/tt14407336,Movie,6.6,146,2024,"Sci-Fi, Drama, Romance, Thriller",2024-07-28,Bertrand Bonello
tt0095963,6,2024-06-19,Red Heat,Red Heat,https://www.imdb.com/title/tt0095963,Movie,6.1,104,1988,"Comedy, Crime, Thriller, Action",1988-06-17,Walter Hill
tt11152168,6,2024-06-18,IF,IF,https://www.imdb.com/title/tt11152168,Movie,6.5,104,2024,"Animation, Comedy, Fantasy, Family, Drama",2024-05-17,John Krasinski
tt22022452,7,2024-06-16,Inside Out 2,Inside Out 2,https://www.imdb.com/title/tt22022452,Movie,7.8,96,2024,"Animation, Adventure, Comedy, Drama, Family, Fantasy",2024-06-14,Kelsey Mann
tt11674730,8,2024-06-13,The Last Stop in Yuma County,The Last Stop in Yuma County,https://www.imdb.com/title/tt11674730,Movie,6.9,90,2024,"Thriller, Crime",2024-05-10,Francis Galluppi
tt21433150,5,2024-06-10,The Veil,The Veil,https://www.imdb.com/title/tt21433150,TV Mini Series,6.4,,2024,Thriller,2024-04-30,
tt16283824,7,2024-06-10,Eric,Eric,https://www.imdb.com/title/tt16283824,TV Mini Series,6.9,53,2024,"Thriller, Drama, Crime",2024-05-30,
tt22050754,3,2024-06-08,The Strangers: Chapter 1,The Strangers: Chapter 1,https://www.imdb.com/title/tt22050754,Movie,4.7,91,2024,Horror,2024-05-17,Renny Harlin
tt13923084,4,2024-06-08,Boy Kills World,Boy Kills World,https://www.imdb.com/title/tt13923084,Movie,6.4,111,2024,"Action, Thriller, Crime",2024-04-26,Moritz Mohr
tt0088194,4,2024-06-08,Streets of Fire,Streets of Fire,https://www.imdb.com/title/tt0088194,Movie,6.7,93,1984,"Music, Crime, Drama, Thriller, Action, Romance",1984-06-01,Walter Hill
tt20215968,8,2024-06-08,Hit Man,Hit Man,https://www.imdb.com/title/tt20215968,Movie,6.9,115,2024,"Comedy, Crime, Romance",2024-06-07,Richard Linklater
tt14257662,2,2024-06-03,"MoviePass, MovieCrash","MoviePass, MovieCrash",https://www.imdb.com/title/tt14257662,Movie,6.7,96,2024,"Documentary, Comedy, Crime, Drama",2024-05-29,Muta'Ali
tt0083511,5,2024-06-03,48 Hrs.,48 Hrs.,https://www.imdb.com/title/tt0083511,Movie,6.9,96,1982,"Crime, Drama, Thriller, Comedy, Action",1982-12-08,Walter Hill
tt12037194,8,2024-05-29,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194,Movie,7.6,148,2024,"Action, Adventure, Sci-Fi, Thriller",2024-05-24,George Miller
tt30180830,1,2024-05-20,Sasquatch Sunset,Sasquatch Sunset,https://www.imdb.com/title/tt30180830,Movie,5.5,88,2024,"Comedy, Action, Adventure",2024-04-19,"David Zellner,Nathan Zellner"
tt14539740,4,2024-05-20,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740,Movie,6.1,115,2024,"Action, Adventure, Sci-Fi, Thriller, Fantasy",2024-03-29,Adam Wingard
tt14203572,6,2024-05-18,Monsieur Spade,Monsieur Spade,https://www.imdb.com/title/tt14203572,TV Mini Series,6.9,,2024,"Thriller, Crime, Drama",2024-01-14,
tt13397574,6,2024-05-18,Mothers' Instinct,Mothers' Instinct,https://www.imdb.com/title/tt13397574,Movie,6.3,94,2024,"Thriller, Drama",2024-08-13,Benoît Delhomme
tt16426418,7,2024-05-18,Challengers,Challengers,https://www.imdb.com/title/tt16426418,Movie,7.2,131,2024,"Drama, Romance, Sport, Comedy",2024-04-26,Luca Guadagnino
tt21072112,5,2024-05-17,Bodkin,Bodkin,https://www.imdb.com/title/tt21072112,TV Series,6.9,45,2024,"Comedy, Drama, Thriller",2024-05-09,
tt0328832,5,2024-05-14,The Animatrix,The Animatrix,https://www.imdb.com/title/tt0328832,Video,7.3,100,2003,"Animation, Action, Sci-Fi",2003-04-17,
tt23747062,6,2024-05-14,Who Killed Santa? A Murderville Murder Mystery,Who Killed Santa? A Murderville Murder Mystery,https://www.imdb.com/title/tt23747062,TV Special,6.5,52,2022,"Comedy, Crime, Mystery",2022-12-15,Laura Murphy
tt23571908,6,2024-05-14,Chris Rock: Selective Outrage,Chris Rock: Selective Outrage,https://www.imdb.com/title/tt23571908,Movie,6.8,69,2023,"Documentary, Come",,
